Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,Medicine,Dosage_Info_Medicine,Duration_Medicine,Notes_Medicine,Diet_For_Recovery,Dosage_Info_Diet,Duration_Diet,Notes_Diet,Vaccination_Name,Age_To_Give,Type,Duration_Vaccine,Notes_Vaccine
Cow,Charolais,8,Male,700,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.2°C,75,Bovine Respiratory Disease,"Antibiotics, Anti-inflammatories",As directed by veterinarian,5-10 days,Early treatment improves outcomes,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Rabbit,Holland Lop,2,Male,1.5,Sneezing,Nasal Discharge,Loss of Appetite,Fever,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.3°C,130,Pasteurellosis,Appropriate medication for rabbit Pasteurellosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Blackface,6,Male,95,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,39.4°C,80,Foot-and-Mouth Disease,Appropriate medication for ovine Foot-and-Mouth Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Soft hay, warm water, minerals",Free access,2-3 weeks,Avoid hard/dry food,FMD Vaccine,3-6 months,Essential (livestock),6-12 months,Mandatory for sheep in many regions
Goat,Kiko,4,Female,90,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,39.6°C,85,Caprine Arthritis Encephalitis,Appropriate medication for caprine Caprine Arthritis Encephalitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,Long-term management,Joint supplements may be beneficial,No effective vaccine,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Prevention through testing and management
Pig,Large White,3,Female,120,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,39.1°C,95,Swine Influenza,Appropriate medication for Pig with Swine Influenza,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality feed, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,Swine Influenza Vaccine,Breeding stock and piglets,Non-core,Biannual,Recommended in high-risk herds
Dog,Beagle,4,Male,20,Lethargy,Vomiting,Loss of Appetite,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,39.2°C,130,Canine Distemper,"Antibiotics, Anticonvulsants, Supportive care",As directed by veterinarian,2-4 weeks,Treat secondary infections and symptoms,"High-calorie, easily digestible diet","Small, frequent meals",2-3 weeks,May need assisted feeding if appetite is poor,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including distemper"
Cat,Siamese,3,Female,7,Coughing,Loss of Appetite,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.0°C,140,Feline Infectious Peritonitis,"GS-441524, Anti-inflammatories",4-10 mg/kg daily,84 days,Emerging treatment with promising results,"High-quality, nutrient-dense diet","Small, frequent meals",2-3 weeks,Appetite stimulants may be needed,FIP Vaccine,"16 weeks, with booster 3-4 weeks later",Non-core,Annual,"Limited efficacy, discuss with veterinarian"
Horse,Clydesdale,8,Male,800,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.6°C,85,Equine Encephalomyelitis,Appropriate medication for equine Equine Encephalomyelitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Simmental,7,Female,650,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,39.3°C,75,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Rabbit,Mini Lop,1,Female,1.3,Sneezing,Nasal Discharge,Loss of Appetite,Fever,3 days,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,39.1°C,140,Myxomatosis,Appropriate medication for rabbit Myxomatosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Texel,5,Male,110,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,39.4°C,70,Scrapie,Appropriate medication for ovine Scrapie,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, easily digestible feed","Small, frequent meals",2-3 weeks,Vitamin and mineral supplements,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Genetic selection and testing used for control
Goat,Angora,7,Female,100,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,39.7°C,80,Pneumonia,Appropriate medication for caprine Pneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Landrace,5,Male,130,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.2°C,90,Actinobacillus Pleuropneumonia,Appropriate medication for Pig with Actinobacillus Pleuropneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Actinobacillus Pleuropneumonia,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Dachshund,3,Female,12,Lethargy,Vomiting,Loss of Appetite,Fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.0°C,115,Canine Parvovirus,Appropriate antibiotics and supportive medication for Canine Parvovirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Highly digestible, bland diet with electrolytes","Small, frequent meals (4-6 times daily)",2-3 weeks,Gradually transition back to regular diet as symptoms improve,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including parvovirus"
Cat,Bengal,4,Male,10,Vomiting,Loss of Appetite,Lethargy,Fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.2°C,145,Feline Panleukopenia,Appropriate antibiotics and supportive medication for Feline Panleukopenia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Arabian,6,Male,500,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.3°C,85,Equine Protozoal Myeloencephalitis,Appropriate medication for equine Equine Protozoal Myeloencephalitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality hay, vitamin and mineral supplements",Normal feeding schedule,2-3 weeks,Vitamin E supplements may be beneficial,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Prevention through feed management and antiprotozoal drugs
Cow,Jersey,6,Male,550,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,39.5°C,70,Bovine Johne's Disease,Appropriate medication for bovine Bovine Johne's Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial/Respiratory Vaccine Complex,"2-4 months, with booster",Core,Annual,Essential preventative care for cattle
Rabbit,Himalayan,2,Male,1.8,Sneezing,Loss of Appetite,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.2°C,130,Rabbit Viral Hemorrhagic Disease,Appropriate medication for rabbit Rabbit Viral Hemorrhagic Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Rambouillet,6,Female,90,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.6°C,80,Bluetongue,Appropriate medication for ovine Bluetongue,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Boer,7,Female,120,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.5°C,90,Foot-and-Mouth Disease,Appropriate medication for caprine Foot-and-Mouth Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Tamworth,4,Female,150,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,39.4°C,85,Swine Erysipelas,Appropriate medication for Pig with Swine Erysipelas,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Swine Erysipelas,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Bulldog,5,Female,22,Coughing,Lethargy,Loss of Appetite,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.3°C,120,Canine Cough,Appropriate antibiotics and supportive medication for Canine Cough,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Easily digestible diet appropriate for condition,"Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years",Essential preventative care for all dogs
Horse,Quarter Horse,7,Male,550,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.4°C,110,Equine Infectious Anemia,Supportive care only,As directed by veterinarian,Ongoing management,"No cure, management of symptoms only","High-quality hay, vitamin and mineral supplements","Small, frequent meals",2-3 weeks,Iron supplements may be beneficial,No vaccine available,N/A,N/A,N/A,Prevention through testing and quarantine
Cow,Holstein,8,Female,750,Coughing,Loss of Appetite,Lethargy,Fever,7 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,39.5°C,85,Bovine Respiratory Disease Complex,Appropriate medication for bovine Bovine Respiratory Disease Complex,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial/Respiratory Vaccine Complex,"2-4 months, with booster",Core,Annual,Essential preventative care for cattle
Rabbit,English Angora,1,Female,2,Sneezing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.2°C,120,Respiratory Infection,Appropriate medication for rabbit Respiratory Infection,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Cheviot,4,Male,85,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.3°C,95,Blue Tongue Virus,Appropriate medication for ovine Blue Tongue Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Saanen,2,Male,85,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.6°C,90,Caprine Arthritis Encephalitis Virus,Appropriate medication for caprine Caprine Arthritis Encephalitis Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Pietrain,3,Female,135,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.4°C,95,African Swine Fever,Appropriate medication for Pig with African Swine Fever,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with African Swine Fever,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Shih Tzu,4,Male,8,Lethargy,Vomiting,Loss of Appetite,Fever,4 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,39.2°C,115,Parvovirus,"Parvaid, Electrolytes, Antibiotics",5 ml twice daily,5–7 days,"Supportive care, hydration","Boiled chicken, rice, electrolyte water",3 times daily,1 week,"Small portions, frequently",Canine Parvo Vaccine,6–8 weeks,Core,Annual booster,Essential for puppies
Cat,Abyssinian,2,Female,6,Coughing,Loss of Appetite,Nasal Discharge,Fever,4 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.1°C,140,Feline Infectious Peritonitis,"GS-441524, Anti-inflammatories",4-10 mg/kg daily,84 days,Emerging treatment with promising results,"High-quality, nutrient-dense diet","Small, frequent meals",2-3 weeks,Appetite stimulants may be needed,FIP Vaccine,"16 weeks, with booster 3-4 weeks later",Non-core,Annual,"Limited efficacy, discuss with veterinarian"
Horse,Morgan,9,Male,600,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.5°C,80,West Nile Virus,Appropriate medication for equine West Nile Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Angus,5,Female,650,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,39.3°C,75,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Rabbit,Himalayan,2,Male,1.5,Sneezing,Loss of Appetite,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,39.2°C,130,Viral Hemorrhagic Disease,Appropriate medication for rabbit Viral Hemorrhagic Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Suffolk,6,Female,120,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,39.5°C,80,Scrapie Disease,Appropriate medication for ovine Scrapie Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Toggenburg,5,Female,75,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.7°C,85,Pneumonia,Appropriate medication for caprine Pneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Landrace,6,Male,140,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,39.5°C,90,Swine Influenza,Appropriate medication for Pig with Swine Influenza,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality feed, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,Swine Influenza Vaccine,Breeding stock and piglets,Non-core,Biannual,Recommended in high-risk herds
Dog,Cocker Spaniel,2,Female,10,Lethargy,Vomiting,Loss of Appetite,Fever,3 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.0°C,125,Distemper,Appropriate antibiotics and supportive medication for Distemper,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-calorie, easily digestible diet","Small, frequent meals",2-3 weeks,May need assisted feeding if appetite is poor,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including distemper"
Cat,Ragdoll,5,Male,8,Coughing,Loss of Appetite,Nasal Discharge,Fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.2°C,145,Feline Leukemia Virus,Appropriate antibiotics and supportive medication for Feline Leukemia Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Clydesdale,7,Male,700,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.6°C,85,Equine Encephalitis,Appropriate medication for equine Equine Encephalitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Limousin,6,Male,650,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.5°C,80,Bovine Respiratory Disease Complex,Appropriate medication for bovine Bovine Respiratory Disease Complex,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial/Respiratory Vaccine Complex,"2-4 months, with booster",Core,Annual,Essential preventative care for cattle
Rabbit,Mini Rex,1,Female,1.2,Sneezing,Nasal Discharge,Loss of Appetite,Fever,3 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.0°C,130,Rabbit Hemorrhagic Disease,Appropriate medication for rabbit Rabbit Hemorrhagic Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, hydration support","Small, frequent meals",2-3 weeks,Critical to maintain hydration and gut motility,RHDV Vaccine,10-12 weeks,Core,Annual,Essential in endemic areas
Sheep,Merino,7,Male,90,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.4°C,90,Bluetongue,Appropriate medication for ovine Bluetongue,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Alpine,6,Male,110,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.6°C,90,Caprine Arthritis Encephalitis Virus,Appropriate medication for caprine Caprine Arthritis Encephalitis Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Berkshire,4,Female,120,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.4°C,85,Swine Erysipelas,Appropriate medication for Pig with Swine Erysipelas,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Swine Erysipelas,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Rottweiler,3,Female,30,Lethargy,Vomiting,Loss of Appetite,Fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.2°C,120,Leptospirosis,Appropriate antibiotics and supportive medication for Leptospirosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Easily digestible diet appropriate for condition,"Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years",Essential preventative care for all dogs
Cat,Bengal,4,Male,7,Coughing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.1°C,135,Feline Immunodeficiency Virus,Appropriate antibiotics and supportive medication for Feline Immunodeficiency Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Thoroughbred,5,Male,550,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.5°C,110,Equine Infectious Anemia,Supportive care only,As directed by veterinarian,Ongoing management,"No cure, management of symptoms only","High-quality hay, vitamin and mineral supplements","Small, frequent meals",2-3 weeks,Iron supplements may be beneficial,No vaccine available,N/A,N/A,N/A,Prevention through testing and quarantine
Cow,Jersey,3,Female,600,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,39.4°C,95,Bovine Respiratory Disease,"Antibiotics, Anti-inflammatories",As directed by veterinarian,5-10 days,Early treatment improves outcomes,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Sheep,Dorset,6,Male,120,Coughing,Loss of Appetite,Lethargy,Fever,7 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,39.5°C,85,Scrapie,Appropriate medication for ovine Scrapie,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, easily digestible feed","Small, frequent meals",2-3 weeks,Vitamin and mineral supplements,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Genetic selection and testing used for control
Goat,Nubian,2,Female,80,Vomiting,Diarrhea,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.7°C,90,Caprine Arthritis Encephalitis,Appropriate medication for caprine Caprine Arthritis Encephalitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,Long-term management,Joint supplements may be beneficial,No effective vaccine,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Prevention through testing and management
Pig,Tamworth,3,Male,160,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,39.5°C,105,Swine Influenza,Appropriate medication for Pig with Swine Influenza,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality feed, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,Swine Influenza Vaccine,Breeding stock and piglets,Non-core,Biannual,Recommended in high-risk herds
Horse,Clydesdale,6,Male,700,Lameness,Swollen Legs,Loss of Appetite,Fever,7 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.6°C,115,Equine Herpesvirus,Appropriate medication for equine Equine Herpesvirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality hay, bran mash, electrolytes","Small, frequent meals",2-3 weeks,Ensure adequate hydration,EHV Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6 months,Protects against equine herpesvirus
